Startdatum,Starttid,Sluttid,Aktivitet,Tillfälleskod/kurskod,Lokal
2023-09-15,13:00,15:00,Räknestuga,EL1000,"[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-15,15:00,17:00,Övning,EI1320,"[M32,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3],[M33,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3]"
2023-09-18,08:00,10:00,Kontrollskrivning,EI1320,"[M23,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2],[M24,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2],[M31,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3],[M32,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3],[M35,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3],[M36,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3]"
2023-09-18,13:00,17:00,Laboration,SH1015,"Kärnlabbet,RB33"
2023-09-19,08:00,10:00,Föreläsning,SF2940,"[F2,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-19,08:00,10:00,Övning,EL1000,"[E31,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E33,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E34,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3]"
2023-09-19,10:00,12:00,Övning,EL1000,"[Q11,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q13,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1]"
2023-09-19,13:00,15:00,Föreläsning,EI1320,"[K2,(https://www.google.com/maps/place/59.349614994822716,18.074470218046066),5]"
2023-09-19,15:00,17:00,Övning,EI1320,"[V34,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),5],[V35,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),5]"
2023-09-19,17:00,19:00,Seminarium,MH1023,"[D35,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3]"
2023-09-20,08:00,12:00,Laboration,SH1015,RB33
2023-09-20,13:00,15:00,Föreläsning,EI1320,"[K2,(https://www.google.com/maps/place/59.349614994822716,18.074470218046066),5]"
2023-09-20,13:00,15:00,Övning,SF2940,"[Q24,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q34,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3],[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3],[U61,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),6],[V12,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),3],[V22,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4]"
2023-09-20,15:00,17:00,Övning,EI1320,"[Q26,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q33,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-21,08:00,10:00,Föreläsning,EL1000,"[E1,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3]"
2023-09-21,10:00,12:00,Övning,EL1000,"[Q11,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q13,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1]"
2023-09-21,13:00,15:00,Föreläsning,SF2940,"[F1,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-22,08:00,10:00,Övning,SF2940,Digital
2023-09-22,13:00,15:00,Övning,EL1000,"[D34,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3],[D41,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),4],[D42,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),4]"
2023-09-22,15:00,17:00,Räknestuga,EL1000,"[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-25,08:00,10:00,Övning,EL1000,"XQ23,XQ32"
2023-09-25,10:00,12:00,Övning,EL1000,"XQ23,XQ32"
2023-09-25,13:00,17:00,Laboration,EL1000,A:225
2023-09-26,08:00,10:00,Övning,SF2940,"[V01,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),2],[V11,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),3],[V12,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),3],[V21,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4],[V23,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4],[V33,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),5]"
2023-09-26,10:00,12:00,Föreläsning,EI1320,H1
2023-09-26,13:00,17:00,Laboration,EL1000,A:225
2023-09-26,13:00,17:00,Laboration,SH1015,"013:012,013:013B,Kärnlabbet,RB33"
2023-09-26,17:00,19:00,Föreläsning,MH1023,"[D35,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3]"
2023-09-27,08:00,12:00,Laboration,SH1015,"013:012,013:013B,RB33"
2023-09-27,13:00,15:00,Föreläsning,EL1000,"[F2,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-27,15:00,17:00,Räknestuga,EL1000,"[Q34,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-28,08:00,12:00,Laboration,SH1015,"[Butter,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),4],Kärnlabbet"
2023-09-28,13:00,15:00,Övning,EL1000,"[Q15,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q17,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q21,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2]"
2023-09-28,15:00,17:00,Föreläsning,SF2940,"[F1,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-09-28,15:00,17:00,Övning,EI1320,"[Q34,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3],[Q36,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-09-29,08:00,12:00,Laboration,EL1000,A:225
2023-09-29,08:00,10:00,Övning,SF2940,"[Q13,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),1],[Q22,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q24,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[V01,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),2],[V11,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),3],[V21,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4]"
2023-09-29,10:00,12:00,Övning,EL1000,"[B21,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B22,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B23,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3]"
2023-09-29,13:00,15:00,Föreläsning,EI1320,H1
2023-09-29,13:00,17:00,Laboration,EL1000,A:225
2023-09-29,15:00,17:00,Övning,EI1320,"[Q26,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q31,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-10-02,08:00,10:00,Kontrollskrivning,EI1320,"[M23,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2],[M24,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2],[M33,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3],[M36,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3],[M37,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3],[M38,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),3]"
2023-10-02,13:00,17:00,Laboration,EL1000,A:225
2023-10-02,13:00,17:00,Laboration,SH1015,"013:012,013:013B,Kärnlabbet,RB33"
2023-10-03,08:00,12:00,Laboration,EL1000,A:225
2023-10-03,08:00,10:00,Övning,SF2940,Digital
2023-10-03,13:00,15:00,Föreläsning,EI1320,"[K2,(https://www.google.com/maps/place/59.349614994822716,18.074470218046066),5]"
2023-10-03,13:00,17:00,Laboration,SH1015,"013:012,013:013B,[Butter,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),4]"
2023-10-03,15:00,17:00,Övning,EI1320,"[V21,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4],[V22,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4]"
2023-10-03,17:00,19:00,Seminarium,MH1023,"[D35,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3]"
2023-10-04,08:00,10:00,Föreläsning,EL1000,"[F2,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-10-04,10:00,12:00,Räknestuga,EL1000,"[Q31,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-10-04,13:00,15:00,Föreläsning,EI1320,H1
2023-10-04,13:00,15:00,Övning,SF2940,"[U41,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),4],[U51,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),5],[U61,(https://www.google.com/maps/place/59.35100405505016,18.07004819394063),6],[V01,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),2],[V12,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),3]"
2023-10-04,15:00,17:00,Övning,EI1320,"[Q21,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2],[Q22,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),2]"
2023-10-05,08:00,12:00,Laboration,EL1000,A:225
2023-10-06,08:00,12:00,Laboration,SH1015,"Kärnlabbet,[Prosit,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),4]"
2023-10-06,10:00,12:00,Föreläsning,SF2940,"[F1,(https://www.google.com/maps/place/59.348382721980045,18.074164283936792),2]"
2023-10-06,13:00,15:00,Föreläsning,EL1000,"[E1,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3]"
2023-10-06,15:00,17:00,Räknestuga,EL1000,"[Q31,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-10-09,08:00,10:00,Övning,EL1000,"[B21,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B22,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B23,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3]"
2023-10-09,10:00,12:00,Övning,EL1000,"[B21,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B22,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3],[B23,(https://www.google.com/maps/place/59.35151479446071,18.068663853571927),3]"
2023-10-09,13:00,18:00,Information,"8XCTFYS, 8XCFATE, 8XCTMAT",Digital
2023-10-10,08:00,10:00,Räknestuga,EL1000,"[Q31,(https://www.google.com/maps/place/59.35024453850851,18.06714300371682),3]"
2023-10-10,08:00,10:00,Övning,SF2940,"[E31,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E33,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E35,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),3],[E51,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5],[E52,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5],[E53,(https://www.google.com/maps/place/59.34704027500101,18.072885775270187),5]"
2023-10-10,10:00,12:00,Föreläsning,EI1320,H1
2023-10-10,13:00,15:00,Övning,EI1320,"[V34,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),5],[V35,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),5]"
2023-10-10,15:00,16:00,Information,8XCTFYS,"[K2,(https://www.google.com/maps/place/59.349614994822716,18.074470218046066),5]"
2023-10-10,17:00,19:00,Föreläsning,MH1023,"[D35,(https://www.google.com/maps/place/59.346842984153625,18.073876046419205),3]"
2023-10-11,08:00,12:00,Datorlaboration,EL1000,"XQ25,XQ32"
2023-10-11,08:00,12:00,Laboration,SH1015,"013:012,013:013B,Kärnlabbet,RB33"
2023-10-11,13:00,15:00,Föreläsning,EI1320,H1
2023-10-11,15:00,17:00,Övning,EI1320,"[V21,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4],[V22,(https://www.google.com/maps/place/59.35110174493043,18.071114815207327),4]"
2023-10-12,08:00,12:00,Datorlaboration,EL1000,"XQ23,XQ32"
2023-10-12,09:00,12:00,Information,8XCELTE,L1
2023-10-13,08:00,12:00,Datorlaboration,EL1000,"XQ23,XQ32"
2023-10-13,08:00,10:00,Föreläsning,SF2940,"[M1,(https://www.google.com/maps/place/59.35338034344207,18.065376926562575),2]"
2023-10-13,08:00,12:00,Laboration,SH1015,"013:012,013:013B,Kärnlabbet,RB33"
